X,Y,V
50,4,0.0
51,4,0.0
52,4,1.0
53,4,1.0
54,4,1.0
55,4,1.0
56,4,1.0
57,4,0.0
58,4,1.0
59,4,0.0
60,4,0.0
61,4,0.0
62,4,0.0
63,4,0.0
64,4,0.0
65,4,0.0
66,4,0.0
67,4,0.0
68,4,1.0
69,4,3.0
70,4,3.0
71,4,3.0
72,4,4.0
73,4,4.0
74,4,4.0
75,4,3.0
76,4,3.0
77,4,3.0
78,4,3.0
79,4,2.0
80,4,1.0
81,4,1.0
82,4,1.0
83,4,1.0
84,4,0.0
85,4,1.0
86,4,1.0
87,4,1.0
88,4,1.0
89,4,1.0
90,4,0.0
91,4,1.0
92,4,0.0
93,4,0.0
94,4,0.0
95,4,1.0
96,4,0.0
97,4,1.0
98,4,2.0
99,4,2.0
100,4,2.0
1,5,0.0
2,5,0.0
3,5,0.0
4,5,0.0
5,5,2.0
6,5,0.0
7,5,0.0
8,5,0.0
9,5,0.0
10,5,0.0
11,5,3.0
12,5,2.0
13,5,2.0
14,5,3.0
15,5,3.0
16,5,2.0
17,5,2.0
18,5,3.0
19,5,2.0
20,5,3.0
21,5,2.0
22,5,3.0
23,5,3.0
24,5,4.0
25,5,4.0
26,5,4.0
27,5,4.0
28,5,4.0
29,5,4.0
30,5,4.0
31,5,4.0
32,5,4.0
33,5,4.0
34,5,4.0
35,5,4.0
36,5,4.0
37,5,4.0
38,5,3.0
39,5,0.0
40,5,0.0
41,5,1.0
42,5,1.0
43,5,1.0
44,5,2.0
45,5,1.0
46,5,1.0
47,5,0.0
48,5,0.0
49,5,0.0
50,5,0.0
51,5,0.0
52,5,1.0
53,5,1.0
54,5,2.0
55,5,2.0
56,5,1.0
57,5,1.0
58,5,0.0
59,5,0.0
60,5,0.0
61,5,0.0
62,5,0.0
63,5,0.0
64,5,0.0
65,5,0.0
66,5,0.0
67,5,1.0
68,5,2.0
69,5,2.0
70,5,3.0
71,5,3.0
72,5,3.0
73,5,4.0
74,5,4.0
75,5,4.0
76,5,3.0
77,5,3.0
78,5,3.0
79,5,1.0
80,5,1.0
81,5,0.0
82,5,0.0
83,5,1.0
84,5,1.0
85,5,0.0
86,5,0.0
87,5,1.0
88,5,1.0
89,5,0.0
90,5,2.0
91,5,0.0
92,5,1.0
93,5,0.0
94,5,1.0
95,5,2.0
96,5,2.0
97,5,2.0
98,5,3.0
99,5,3.0
100,5,3.0
1,6,0.0
2,6,0.0
3,6,1.0
4,6,0.0
5,6,0.0
6,6,0.0
7,6,0.0
8,6,0.0
9,6,0.0
10,6,0.0
11,6,2.0
12,6,1.0
13,6,1.0
14,6,3.0
15,6,3.0
16,6,3.0
17,6,2.0
18,6,2.0
19,6,2.0
20,6,2.0
21,6,2.0
22,6,2.0
23,6,3.0
24,6,4.0
25,6,4.0
26,6,4.0
27,6,4.0
28,6,4.0
29,6,4.0
30,6,4.0
31,6,4.0
32,6,4.0
33,6,3.0
34,6,4.0
35,6,4.0
36,6,4.0
37,6,4.0
38,6,0.0
39,6,0.0
40,6,0.0
41,6,1.0
42,6,1.0
43,6,2.0
44,6,1.0
45,6,1.0
46,6,1.0
47,6,0.0
48,6,0.0
49,6,0.0
50,6,0.0
51,6,0.0
52,6,1.0
53,6,1.0
54,6,0.0
55,6,0.0
56,6,0.0
57,6,0.0
58,6,0.0
59,6,0.0
60,6,0.0
61,6,0.0
62,6,0.0
63,6,0.0
64,6,0.0
65,6,0.0
66,6,0.0
67,6,1.0
68,6,2.0
69,6,3.0
70,6,3.0
71,6,3.0
72,6,3.0
73,6,3.0
74,6,4.0
75,6,3.0
76,6,3.0
77,6,2.0
78,6,1.0
79,6,1.0
80,6,1.0
81,6,1.0
82,6,3.0
83,6,2.0
84,6,2.0
85,6,3.0
86,6,3.0
87,6,1.0
88,6,1.0
89,6,1.0
90,6,1.0
91,6,1.0
92,6,0.0
93,6,0.0
94,6,1.0
95,6,3.0
96,6,3.0
97,6,3.0
98,6,3.0
99,6,4.0
100,6,4.0
1,7,0.0
2,7,0.0
3,7,1.0
4,7,0.0
5,7,0.0
6,7,0.0
7,7,0.0
8,7,0.0
9,7,0.0
10,7,0.0
11,7,0.0
12,7,1.0
13,7,2.0
14,7,1.0
15,7,3.0
16,7,3.0
17,7,2.0
18,7,1.0
19,7,0.0
20,7,1.0
21,7,3.0
22,7,3.0
23,7,3.0
24,7,1.0
25,7,4.0
26,7,4.0
27,7,4.0
28,7,4.0
29,7,4.0
30,7,4.0
31,7,4.0
32,7,4.0
33,7,3.0
34,7,4.0
35,7,4.0
36,7,4.0
37,7,0.0
38,7,0.0
39,7,0.0
40,7,1.0
41,7,2.0
42,7,2.0
43,7,1.0
44,7,2.0
45,7,1.0
46,7,1.0
47,7,0.0
48,7,0.0
49,7,0.0
50,7,1.0
51,7,0.0
52,7,1.0
53,7,0.0
54,7,0.0
55,7,0.0
56,7,0.0
57,7,0.0
58,7,0.0
59,7,0.0
60,7,0.0
61,7,0.0
62,7,0.0
63,7,0.0
64,7,1.0
65,7,1.0
66,7,2.0
67,7,2.0
68,7,3.0
69,7,3.0
70,7,3.0
71,7,3.0
72,7,3.0
73,7,3.0
74,7,4.0
75,7,4.0
76,7,3.0
77,7,2.0
78,7,3.0
79,7,0.0
80,7,1.0
81,7,1.0
82,7,2.0
83,7,3.0
84,7,2.0
85,7,1.0
86,7,1.0
87,7,0.0
88,7,2.0
89,7,1.0
90,7,2.0
91,7,1.0
92,7,2.0
93,7,3.0
94,7,2.0
95,7,3.0
96,7,3.0
97,7,3.0
98,7,4.0
99,7,4.0
100,7,4.0
1,8,0.0
2,8,0.0
3,8,0.0
4,8,0.0
5,8,0.0
6,8,0.0
7,8,1.0
8,8,0.0
9,8,1.0
10,8,1.0
11,8,2.0
12,8,0.0
13,8,1.0
14,8,1.0
15,8,2.0
16,8,2.0
17,8,1.0
18,8,1.0
19,8,2.0
20,8,1.0
